original_title,overview,genres,keywords,popularity,cast,director,content
Avatar,in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,action adventure fantasy science fiction,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d,150.437577,sam worthington zoe saldana sigourney weaver stephen lang michelle rodriguez,james cameron,in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization action adventure fantasy science fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d sam worthington zoe saldana sigourney weaver stephen lang michelle rodriguez james cameron
Pirates of the Caribbean: At World's End,captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems,adventure fantasy action,ocean drug abuse exotic island east india trading company love of ones life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,139.082615,johnny depp orlando bloom keira knightley stellan skarsgård chow yunfat,gore verbinski,captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems adventure fantasy action ocean drug abuse exotic island east india trading company love of ones life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnny depp orlando bloom keira knightley stellan skarsgård chow yunfat gore verbinski
Spectre,a cryptic message from bonds past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre,action adventure crime,spy based on novel secret agent sequel mi6 british secret service united kingdom,107.376788,daniel craig christoph waltz léa seydoux ralph fiennes monica bellucci,sam mendes,a cryptic message from bonds past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre action adventure crime spy based on novel secret agent sequel mi6 british secret service united kingdom daniel craig christoph waltz léa seydoux ralph fiennes monica bellucci sam mendes
The Dark Knight Rises,following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy,action crime drama thriller,dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante coverup superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman,112.31295,christian bale michael caine gary oldman anne hathaway tom hardy,christopher nolan,following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy action crime drama thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante coverup superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman christian bale michael caine gary oldman anne hathaway tom hardy christopher nolan
John Carter,john carter is a warweary former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict its a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands,action adventure science fiction,based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d,43.926995,taylor kitsch lynn collins samantha morton willem dafoe thomas haden church,andrew stanton,john carter is a warweary former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict its a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands action adventure science fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d taylor kitsch lynn collins samantha morton willem dafoe thomas haden church andrew stanton
Spider-Man 3,the seemingly invincible spiderman goes up against an allnew crop of villain including the shapeshifting sandman while spidermans superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle,fantasy action adventure,dual identity amnesia sandstorm love of ones life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge,115.699814,tobey maguire kirsten dunst james franco thomas haden church topher grace,sam raimi,the seemingly invincible spiderman goes up against an allnew crop of villain including the shapeshifting sandman while spidermans superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle fantasy action adventure dual identity amnesia sandstorm love of ones life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge tobey maguire kirsten dunst james franco thomas haden church topher grace sam raimi
Tangled,when the kingdoms most wantedand most charmingbandit flynn rider hides out in a mysterious tower hes taken hostage by rapunzel a beautiful and feisty towerbound teen with 70 feet of magical golden hair flynns curious captor whos looking for her ticket out of the tower where shes been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade complete with a supercop horse an overprotective chameleon and a gruff gang of pub thugs,animation family,hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick,48.681969,zachary levi mandy moore donna murphy ron perlman mc gainey,byron howard,when the kingdoms most wantedand most charmingbandit flynn rider hides out in a mysterious tower hes taken hostage by rapunzel a beautiful and feisty towerbound teen with 70 feet of magical golden hair flynns curious captor whos looking for her ticket out of the tower where shes been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade complete with a supercop horse an overprotective chameleon and a gruff gang of pub thugs animation family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick zachary levi mandy moore donna murphy ron perlman mc gainey byron howard
Avengers: Age of Ultron,when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,action adventure science fiction,marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d,134.279229,robert downey jr chris hemsworth mark ruffalo chris evans scarlett johansson,joss whedon,when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure action adventure science fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d robert downey jr chris hemsworth mark ruffalo chris evans scarlett johansson joss whedon
Harry Potter and the Half-Blood Prince,as harry begins his sixth year at hogwarts he discovers an old book marked as property of the halfblood prince and begins to learn more about lord voldemorts dark past,adventure fantasy family,witch magic broom school of witchcraft wizardry apparition teenage crush werewolf,98.885637,daniel radcliffe rupert grint emma watson tom felton michael gambon,david yates,as harry begins his sixth year at hogwarts he discovers an old book marked as property of the halfblood prince and begins to learn more about lord voldemorts dark past adventure fantasy family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf daniel radcliffe rupert grint emma watson tom felton michael gambon david yates
Batman v Superman: Dawn of Justice,fearing the actions of a godlike super hero left unchecked gotham citys own formidable forceful vigilante takes on metropoliss most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than its ever known before,action adventure fantasy,dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe,155.790452,ben affleck henry cavill gal gadot amy adams jesse eisenberg,zack snyder,fearing the actions of a godlike super hero left unchecked gotham citys own formidable forceful vigilante takes on metropoliss most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than its ever known before action adventure fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe ben affleck henry cavill gal gadot amy adams jesse eisenberg zack snyder
